friendly name,hostname,parent id
Mech Shop,10.0.0.133,55
SK1 Road,10.0.0.31,55
Mil 1-2,10.0.0.32,55
Euler\Green,10.0.0.33,55
F2 South,10.0.0.34,55
Site Road,10.0.0.35,55
F3 North,10.0.0.36,55
Canteen Road,10.0.0.37,55
SK1 Batchup,10.0.0.38,55
Press Shop,10.0.0.39,55
Cold Room,10.0.0.131,55
Looms,10.0.0.41,55
Elec Shop,10.0.0.132,55
CEO 1,10.0.0.128,55
Cal 5,10.0.0.44,55
SK3 Main pre,10.0.0.45,55
Cal1 letoff,10.0.0.46,55
Toilet/Cal,10.0.0.47,55
SK2 Main,10.0.0.48,55
Camera 01,10.0.0.49,55
Build Table,10.0.0.50,55
Comp Store,10.0.0.51,55
Camera 01,10.0.0.52,55
Cal 3 Let,10.0.0.53,55
SK2 Batchup,10.0.0.54,55
3Foot Press,10.0.0.55,55
Auto Wrap2,10.0.0.56,55
Camera 01,10.0.0.57,55
SK1 Cooling,10.0.0.58,55
Cal 7,10.0.0.59,55
Insp Tab2,10.0.0.60,55
Cal 6,10.0.0.61,55
Rol Die,10.0.0.62,55
Mill 11,10.0.0.63,55
Mill 10,10.0.0.64,55
Sk1 Load,10.0.0.65,55
Mech Shop 2,10.0.0.66,55
CEO 2,10.0.0.67,55
Cal 1 Batch,10.0.0.68,55
Cal 3,10.0.0.69,55
Camera 01,10.0.0.215,55
Camera 01,10.0.0.217,55
Camera 01,10.0.0.216,55
IT PTZ,10.0.3.233,55
IPdome,10.0.0.219,55
IPdome,10.0.0.220,55
Fire Prop Monitor,10.0.0.142,55
Fire Prop Chamber,10.0.0.143,55
Brand West,10.0.0.42,55
Camera 01,10.0.3.245,55
ABB PTZ,10.0.0.94,57
ABB South,10.0.0.95,57
ROT Back,10.0.0.96,57
Surface Store,10.0.0.97,57
Plied Door,10.0.0.98,57
Server 1,10.0.0.99,57
Cal1 Main,10.0.0.100,57
IT Passage,10.0.0.101,57
Slit 2,10.0.0.102,57
Re-Box,10.0.0.103,57
Server 2,10.0.0.104,57
F1 North,10.0.0.105,57
PC 5,10.0.0.106,57
Sk1 Pre Press,10.0.0.107,57
SK1 Spooling,10.0.0.108,57
Slit Table,10.0.0.109,57
SK2 Team,10.0.0.110,57
SK3 Let Off,10.0.0.111,57
SK2 Letoff,10.0.0.112,57
SP - 1,10.0.0.113,57
Mil 3-4,10.0.0.114,57
SP 2,10.0.0.115,57
Rotocure,10.0.0.116,57
ABB North,10.0.0.117,57
Reception,10.0.0.118,57
Lin Rewind,10.0.0.119,57
Salaries,10.0.0.120,57
DIP Stores,10.0.0.121,57
Mixing,10.0.0.122,57
Twister,10.0.0.123,57
Rec Passage,10.0.0.124,57
SK1 Creels,10.0.0.125,57
Cal Stores,10.0.0.126,57
Guard Room,10.0.0.127,57
Camera 01,10.0.3.41,57
ROT Right,10.0.0.129,57
SK4 OP Panel,10.0.0.130,57
Camera 01,10.0.0.223,57
Camera 01,10.0.0.224,57
Camera 01,10.0.0.226,57
Camera 01,10.0.0.230,57
Brand West,10.0.0.42,57
Brand East,10.0.0.43,57
F4 North,10.0.0.40,57
IPdome,10.0.0.158,59
IPdome,10.0.0.159,59
Store 2,10.0.0.160,59
Turn Styles,10.0.0.161,59
SK1 Storage,10.0.0.162,59
PC 6,10.0.0.163,59
Sec Road,10.0.0.164,59
Boiler Road,10.0.0.165,59
Mech Road,10.0.0.166,59
Gate 3,10.0.0.167,59
Clinic Park,10.0.0.168,59
Finance Road,10.0.0.169,59
Ex 1,10.0.0.170,59
Finance Park,10.0.0.171,59
Elec Road,10.0.0.172,59
PM Office,10.0.0.173,59
Recept Park,10.0.0.174,59
Brand Acad,10.0.0.175,59
Site Main,10.0.0.176,59
SK2 Gate,10.0.0.177,59
Rec Park2,10.0.0.178,59
Gate Side,10.0.0.179,59
Loom 1,10.0.0.180,59
Loom 2,10.0.0.181,59
Loom 4,10.0.0.182,59
Loom 3,10.0.0.183,59
Rema Load,10.0.0.184,59
Scrap Yard,10.0.0.185,59
DBS West,10.0.0.186,59
DBS Load,10.0.0.187,59
DBS East,10.0.0.188,59
ABB East,10.0.0.189,59
DON Park,10.0.0.190,59
PLIED Road,10.0.0.191,59
Samcol,10.0.0.192,59
PC Office,10.0.0.193,59
SK1 Office,10.0.0.194,59
IPCamera 38,10.0.0.195,59
SARMCOl2,10.0.0.196,59
Loom 5,10.0.0.197,59
Camera 01,10.0.0.222,59
Camera 01,10.0.0.225,59
Camera 01,10.0.0.229,59
Camera 01,10.0.0.231,59
Camera 01,10.0.0.232,59
Camera 01,10.0.0.234,59
Camera 01,10.0.3.242,59
Press 1W,10.0.0.74,61
Cal 3 R,10.0.0.70,61
Press 1 E,10.0.0.75,61
Camera 01,10.0.0.78,61
Press 2E,10.0.0.73,61
Press 2 W,10.0.0.76,61
Slit 3,10.0.0.71,61
Slit 1,10.0.0.72,61
Rema Store 1,10.0.0.77,61
Camera 01,10.0.0.79,61
Camera 01,10.0.0.137,61
DBS Press,10.0.0.141,61
B Shop East,10.0.0.139,61
Auto Wrap,10.0.0.134,61
Store 3,10.0.0.135,61
DBS Table,10.0.0.138,61
Cal team,10.0.0.136,61
B Shop Main,10.0.0.140,61
Sk 1 Inspect,10.0.0.241,61
Scrap PTZ,10.0.0.30,61
F4 North,10.0.0.40,61
Brand East,10.0.0.43,61
Camera 01,10.0.0.221,61
Camera 01,10.0.0.228,61
Camera 01,10.0.0.234,61
Camera 01,10.0.0.233,61
Loom 6,10.0.0.198,63
DBS 2,10.0.0.202,63
DBS 1,10.0.0.201,63
Ex 2,10.0.0.200,63
Elec door,10.0.0.203,63
Fleet,10.0.0.199,63
Cal op Panel,10.0.0.213,63
Cal Overview,10.0.0.211,63
Cal top,10.0.0.212,63
Cal Bowl,10.0.0.214,63
DBS1,10.0.0.80,63
Plide pass,10.0.0.81,63
DBS2,10.0.0.82,63
Camera 01,10.0.0.249,63
Cold Room,10.0.0.131,63
Elec Shop,10.0.0.132,63
Mech Shop,10.0.0.133,63
Auto Wrap,10.0.0.134,63
Store 3,10.0.0.135,63
DBS Table,10.0.0.138,63
B Shop East,10.0.0.139,63
B Shop Main,10.0.0.140,63
DBS Press,10.0.0.141,63
Fire Prop Monitor,10.0.0.142,63
Fire Prop Chamber,10.0.0.143,63
